Category,Sub-Category,Item - (Export Quantity in '000 Tonnes),2013-14,2014-15,2015-16,2016-17,2017-18
Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Bars & Rods,585,392,365,629,2042
Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Structurals,65,83,81,160,173
Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Railway Materials,1,3,2,83,43
Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Total - Non-Flat Products of Non-Alloy Finished Steel,651,478,448,872,2258
Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Plates,155,559,266,301,491
Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,HR Coil/Strip,2043,1320,385,2878,2820
Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,HR Sheets,87,55,62,75,18
Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,CR Coil/Sheets,561,585,655,1394,1230
Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,GP/GC/Galvalume,1822,1629,1420,1716,1086
Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Color Coated Sheets/Coils,NA,NA,NA,NA,58
Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Electrical Coils/Sheets,10,10,19,45,90
Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Tin Plates,70,47,56,56,37
Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Tin Free Steel,1,0,1,2,2
Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Pipes (Large Diameter),108,223,163,245,637
Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Total - Flat Products of Non-Alloy Finished Steel,4857,4428,3027,6712,6469
Non-Alloy Finished Steel,Total - Non-Alloy Finished Steel,Total - Non-Alloy Finished Steel,5508,4906,3475,7584,8727
Alloy/Stainless Finished Steel,Non-Flat Products of Alloy/Stainless Fnished Steel,NA,228,336,165,190,523
Alloy/Stainless Finished Steel,Flat Products of Alloy/Stainless Finished Steel,NA,249,353,439,468,370
Alloy/Stainless Finished Steel,Total - Alloy/Stainless Finished Steel,Total - Alloy/Stainless Finished Steel,477,689,604,658,893
Total Export of Finished Steel,Total Export of Finished Steel,Total Export of Finished Steel,5985,5596,4079,8243,9620
