Category,Sub-Category,Item - (Import Quantity in '000 Tonnes),2013-14,2014-15,2015-16,2016-17,2017-18
Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Bars & Rods,294,854,621,419,243
Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Structurals,44,54,25,64,37
Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Rly.Materials,4,15,12,39,29
Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Total - Non-Flat Products of Non-Alloy Finished Steel,342,923,658,522,309
Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Plates,410,732,1060,740,574
Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,HR Coil/Strip,1104,2006,3401,1905,1751
Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,HR Sheets,102,79,105,39,19
Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,CR Coil/Sheets,1279,1713,2235,917,543
Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,GP/GC/Galvalume,368,444,586,566,844
Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Color Coated Sheets/Coils,NA,NA,NA,NA,311
Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Electrical Coils/Sheets,347,418,318,297,606
Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,TMBP,1,1,4,1,1
Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Tin Plates,188,219,170,249,192
Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Tin Free Steel,57,87,81,29,67
Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Pipes (Large Diameter),101,132,101,99,419
Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Total - Flat Products of Non-Alloy Finished Steel,3957,5831,8061,4842,5327
Non-Alloy Finished Steel,Total - Non-Alloy Finished Steel,Total - Non-Alloy Finished Steel,4299,6754,8719,5364,5636
Alloy/Stainless Finished Steel,Non-Flat Products of Alloy/Stainless Finished Steel,NA,237,822,1119,468,442
Alloy/Stainless Finished Steel,Flat Products of Alloy/Stainless Finished Steel,NA,915,1745,1875,1392,1404
Alloy/Stainless Finished Steel,Total - Alloy/Stainless Finished Steel,Total - Alloy/Stainless Finished Steel,1152,2567,2994,1860,1846
Total Import of Finished Steel,Total Import of Finished Steel,Total Import of Finished Steel,5451,9321,11713,7224,7482
