,status,category,subcategory,item,yearmonth,value
0,export,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Bars & Rods,2013-14,585.0
1,export,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Structurals,2013-14,65.0
2,export,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Railway Materials,2013-14,1.0
3,export,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Total - Non-Flat Products of Non-Alloy Finished Steel,2013-14,651.0
4,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Plates,2013-14,155.0
5,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,HR Coil/Strip,2013-14,2043.0
6,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,HR Sheets,2013-14,87.0
7,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,CR Coil/Sheets,2013-14,561.0
8,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,GP/GC/Galvalume,2013-14,1822.0
9,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Color Coated Sheets/Coils,2013-14,
10,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Electrical Coils/Sheets,2013-14,10.0
11,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Tin Plates,2013-14,70.0
12,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Tin Free Steel,2013-14,1.0
13,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Pipes (Large Diameter),2013-14,108.0
14,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Total - Flat Products of Non-Alloy Finished Steel,2013-14,4857.0
15,export,Alloy/Stainless Finished Steel,Non-Flat Products of Alloy/Stainless Fnished Steel,,2013-14,228.0
16,export,Alloy/Stainless Finished Steel,Flat Products of Alloy/Stainless Finished Steel,,2013-14,249.0
17,export,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Bars & Rods,2014-15,392.0
18,export,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Structurals,2014-15,83.0
19,export,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Railway Materials,2014-15,3.0
20,export,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Total - Non-Flat Products of Non-Alloy Finished Steel,2014-15,478.0
21,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Plates,2014-15,559.0
22,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,HR Coil/Strip,2014-15,1320.0
23,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,HR Sheets,2014-15,55.0
24,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,CR Coil/Sheets,2014-15,585.0
25,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,GP/GC/Galvalume,2014-15,1629.0
26,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Color Coated Sheets/Coils,2014-15,
27,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Electrical Coils/Sheets,2014-15,10.0
28,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Tin Plates,2014-15,47.0
29,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Tin Free Steel,2014-15,0.0
30,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Pipes (Large Diameter),2014-15,223.0
31,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Total - Flat Products of Non-Alloy Finished Steel,2014-15,4428.0
32,export,Alloy/Stainless Finished Steel,Non-Flat Products of Alloy/Stainless Fnished Steel,,2014-15,336.0
33,export,Alloy/Stainless Finished Steel,Flat Products of Alloy/Stainless Finished Steel,,2014-15,353.0
34,export,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Bars & Rods,2015-16,365.0
35,export,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Structurals,2015-16,81.0
36,export,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Railway Materials,2015-16,2.0
37,export,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Total - Non-Flat Products of Non-Alloy Finished Steel,2015-16,448.0
38,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Plates,2015-16,266.0
39,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,HR Coil/Strip,2015-16,385.0
40,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,HR Sheets,2015-16,62.0
41,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,CR Coil/Sheets,2015-16,655.0
42,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,GP/GC/Galvalume,2015-16,1420.0
43,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Color Coated Sheets/Coils,2015-16,
44,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Electrical Coils/Sheets,2015-16,19.0
45,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Tin Plates,2015-16,56.0
46,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Tin Free Steel,2015-16,1.0
47,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Pipes (Large Diameter),2015-16,163.0
48,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Total - Flat Products of Non-Alloy Finished Steel,2015-16,3027.0
49,export,Alloy/Stainless Finished Steel,Non-Flat Products of Alloy/Stainless Fnished Steel,,2015-16,165.0
50,export,Alloy/Stainless Finished Steel,Flat Products of Alloy/Stainless Finished Steel,,2015-16,439.0
51,export,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Bars & Rods,2016-17,629.0
52,export,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Structurals,2016-17,160.0
